No,CP,HighVTL20days,Cycle20,LowVTL20days,HighVTL80days,Cycle80,LowVTL80days,HighVTL360days,Cycle320,LowVTL360days,20 Day FLD
243,0.82542,0.888546838,  ,1.249744744,1.306915451,  ,0.410051163,NA,  ,NA,0.895492624
244,0.801959208,0.882693103,  ,1.266994632,1.313830971,  ,0.412194627,NA,  ,NA,0.890834286
245,0.765,0.876839368,  ,1.284244521,1.320746492,  ,0.414338091,NA,  ,NA,0.890116778
246,0.7415,0.870985633,LOW,0.7415,1.327662012,  ,0.416481555,NA,  ,NA,0.886556717
247,0.75897,0.865131898,  ,0.738009355,1.334577532,  ,0.418625019,NA,  ,NA,0.883200787
248,0.809130293,0.859278163,  ,0.734518709,1.341493052,  ,0.420768483,NA,  ,NA,0.8779844
249,0.84971,0.853424428,  ,0.731028064,1.348408572,  ,0.422911947,NA,  ,NA,0.871573162
250,0.872374366,0.847570693,  ,0.727537418,1.355324093,  ,0.425055411,NA,  ,NA,0.862073162
251,0.88377,0.88377,HIGH,0.724046773,1.362239613,  ,0.427198875,NA,  ,NA,0.844156131
252,0.8552,0.880138094,  ,0.720556127,1.369155133,  ,0.429342339,NA,  ,NA,0.832053131
253,0.822,0.876506189,  ,0.717065482,1.376070653,  ,0.431485803,NA,  ,NA,0.821184609
254,0.7947405,0.872874283,  ,0.713574836,1.382986173,  ,0.433629267,NA,  ,NA,0.816906609
255,0.792509942,0.869242377,  ,0.710084191,1.389901694,  ,0.435772731,NA,  ,NA,0.814751553
256,0.789706312,0.865610471,  ,0.706593545,1.396817214,  ,0.437916195,NA,  ,NA,0.815904553
257,0.78461,0.861978566,  ,0.7031029,1.403732734,  ,0.440059658,NA,  ,NA,0.816303387
258,0.77411,0.85834666,  ,0.699612254,1.410648254,  ,0.442203122,NA,  ,NA,0.815961387
259,0.78199,0.854714754,  ,0.696121609,1.417563775,  ,0.444346586,NA,  ,NA,0.815239516
260,0.779,0.851082848,  ,0.692630963,1.424479295,  ,0.44649005,NA,  ,NA,0.81799051
261,0.68,0.847450943,LOW,0.68,1.431394815,LOW,0.68,NA,  ,NA,0.822811141
262,0.715691835,0.843819037,  ,0.6759,1.438310335,  ,0.684893467,NA,  ,NA,0.825375141
263,0.74,0.840187131,  ,0.6718,1.445225855,  ,0.689786933,NA,  ,NA,0.821873112
264,0.7538,0.836555226,  ,0.6677,1.452141376,  ,0.6946804,NA,  ,NA,0.815101112
265,0.74999,0.83292332,  ,0.6636,1.459056896,  ,0.699573867,NA,  ,NA,0.805763675
266,0.734060517,0.829291414,  ,0.6595,1.465972416,  ,0.704467333,NA,  ,NA,0.785386675
267,0.733156821,0.825659508,  ,0.6554,1.472887936,  ,0.7093608,NA,  ,NA,0.771435859
268,0.770113933,0.822027603,  ,0.6513,1.479803456,  ,0.714254267,NA,  ,NA,0.763235859
269,0.861381608,0.818395697,  ,0.6472,1.486718977,  ,0.719147733,NA,  ,NA,0.759141809
270,0.930320058,0.814763791,  ,0.6431,1.493634497,  ,0.7240412,NA,  ,NA,0.754889815
271,0.998629766,0.811131886,  ,0.639,1.500550017,  ,0.728934667,NA,  ,NA,0.749325235
272,0.983673137,0.80749998,  ,0.6349,1.507465537,  ,0.733828133,NA,  ,NA,0.744179917
273,1.046632858,0.803868074,  ,0.6308,1.514381058,  ,0.7387216,NA,  ,NA,0.743780311
274,1.098122098,0.800236168,  ,0.6267,1.521296578,  ,0.743615067,NA,  ,NA,0.751719471
275,1.149433312,0.796604263,  ,0.6226,1.528212098,  ,0.748508533,NA,  ,NA,0.766851477
276,1.185162221,0.792972357,  ,0.6185,1.535127618,  ,0.753402,NA,  ,NA,0.798714454
277,1.142125985,0.789340451,  ,0.6144,1.542043138,  ,0.758295467,NA,  ,NA,0.825512584
278,1.207338872,0.785708545,  ,0.6103,1.548958659,  ,0.763188933,NA,  ,NA,0.85617587
279,1.404505082,0.78207664,  ,0.6062,1.555874179,  ,0.7680824,NA,  ,NA,0.89060808
280,1.828852301,0.778444734,HIGH*,0.6021,1.562789699,  ,0.772975867,NA,  ,NA,0.930552411
281,1.63198422,0.774812828,  ,0.598,1.569705219,  ,0.777869333,NA,  ,NA,0.975662581
282,1.564483635,0.771180923,LOW*,0.5939,1.576620739,  ,0.7827628,NA,  ,NA,1.016559498
283,1.77084089,0.767549017,  ,0.5898,1.58353626,  ,0.787656267,NA,  ,NA,1.060281992
284,1.903175959,0.763917111,  ,0.5857,1.59045178,  ,0.792549733,NA,  ,NA,1.114594339
285,2.285744466,0.760285205,  ,0.5816,1.5973673,  ,0.7974432,NA,  ,NA,1.204447563
286,2.85060509,0.7566533,  ,0.5775,1.60428282,  ,0.802336667,NA,  ,NA,1.267783009
