No,CP,Cycle20,Cycle80,Cycle320
708,6.350494039,  ,  ,  
709,6.31747363,LOW*,  ,  
710,6.432860829,  ,  ,  
711,6.615713402,  ,  ,  
712,6.590064633,  ,  ,  
713,6.658776757,  ,  ,  
714,6.680427623,  ,  ,  
715,6.626860092,  ,  ,  
716,6.743478051,  ,  ,  
717,6.449992403,  ,  ,  
718,6.514835333,  ,  ,  
719,6.642398604,  ,  ,  
720,6.672181189,  ,  ,  
721,6.808273712,  ,  ,  
722,6.796317688,  ,  ,  
723,7.032395886,  ,  ,  
724,7.178580036,  ,,  
725,7.185147789,  ,  ,  
726,7.55593565,  ,  ,  
727,7.630921256,  ,  ,  
728,7.580129178,  ,  ,  
729,7.62723486,  ,  ,  
730,8.493405677,  ,  ,  
731,8.751984855,  ,  ,  
732,9.095192686,HIGH,  ,  
733,8.879533414,  ,  ,  
734,8.532450679,  ,  ,  
735,8.875645841,  ,  ,  
736,8.506562544,LOW,  ,  
737,8.531211269,  ,  ,  
738,8.574585171,  ,  ,  
739,8.769347273,  ,  ,  
740,8.875765046,  ,  ,  
741,8.891459894,  ,  ,  
742,8.842560894,  ,  ,  
743,8.747680659,  ,  ,  
744,9.088317249,  ,  ,  
745,9.320998402,  ,  ,  
746,9.568020904,  ,  ,  
747,10.5510397,  ,  ,  
748,10.91586475,  ,  ,  
749,10.91971488,  ,  ,  
750,10.80511738,  ,  ,  
751,10.8694465,  ,  ,  
752,10.94127944,  ,  ,  
753,11.0703916,  ,  ,  
754,11.10372474,  ,  ,  
755,11.4475688,  ,  ,  
756,11.54253553,  ,  ,  
757,11.59255239,  ,  ,  
758,11.98496299,  ,  ,  
759,12.18709748,  ,  ,  
760,13.17007735,  ,  ,  
761,13.45079082,HIGH,HIGH,HIGH*
762,12.07700554,  ,  ,  
763,11.57750716,  ,  ,  
764,7.830621842,LOW,LOW,LOW*
765,9.979876649,  ,  ,  
766,9.902982018,  ,  ,  
767,9.772554579,  ,  ,  
768,10.08865743,  ,  ,  
769,10.59404259,  ,  ,  
770,10.58367667,  ,  ,  
771,10.54553074,  ,  ,  
772,10.90038008,  ,  ,  
773,10.93295853,HIGH,  ,  
774,10.8677839,  ,  ,  
775,10.72774884,  ,  ,  
776,10.10240982,  ,  ,  
777,10.00653294,LOW,  ,  
778,10.2261162,  ,  ,  
779,10.49713431,  ,  ,  
780,10.36400189,  ,  ,  
781,11.02552288,  ,  ,  
782,11.16076902,  ,  ,  
783,11.07612234,  ,  ,  
784,11.04327003,  ,  ,  
785,11.06209549,  ,  ,  
786,11.1252888,  ,  ,  
787,11.26809296,  ,  ,  
788,11.31528591,  ,  ,  
789,11.38029929,  ,  ,  
790,11.73010762,  ,  ,  
791,11.71839342,  ,  ,  
792,11.88691122,  ,  ,  
793,11.90831716,  ,  ,  
794,12.25965084,  ,  ,  
795,12.5048541,HIGH*,  ,  
796,12.36717665,  ,  ,  
797,12.33365784,  ,  ,  
798,12.21372763,  ,  ,  
799,12.16546303,  ,  ,  
800,12.11358872,LOW*,  ,  
801,12.18240539,  ,  ,  
802,12.31981686,  ,  ,  
803,12.3187514,  ,  ,  
804,12.38145739,  ,  ,  
805,12.40475151,  ,  ,  
806,12.39162247,  ,  ,  
807,12.38939516,  ,  ,  
808,12.8072381,  ,  ,  
809,12.95543049,HIGH,HIGH,  
810,12.86238578,  ,  ,  
811,12.75221942,  ,  ,  
812,12.50512971,  ,  ,  
813,11.87399709,  ,  ,  
814,11.73332975,  ,  ,  
815,11.82866344,  ,  ,  
816,12.10918848,  ,  ,  
817,12.06755181,  ,  ,  
818,12.02806816,  ,  ,  
819,11.92680383,  ,  ,  
820,11.65057796,LOW,  ,  
821,11.90830953,  ,  ,  
822,11.84801807,  ,  ,  
823,11.91938816,  ,  ,  
824,11.92593284,HIGH,  ,  
825,11.7574858,  ,  ,  
826,11.69437755,  ,  ,  
827,11.65741141,  ,  ,  
828,11.74107791,  ,  ,  
829,11.70778173,  ,  ,  
830,11.63435239,  ,  ,  
831,10.75362982,  ,  ,  
832,10.13061949,LOW,LOW,  
833,10.4581863,  ,  ,  
834,10.70996208,  ,  ,  
835,10.63073898,  ,  ,  
836,10.85932306,  ,  ,  
837,11.14607184,HIGH*,  ,  
838,10.61353575,  ,  ,  
839,10.53050364,  ,  ,  
840,10.65074702,  ,  ,  
841,10.79688289,  ,  ,  
842,10.74082074,  ,  ,  
843,10.8681975,  ,  ,  
844,10.95409894, ,  ,  
845,10.89269937,  ,  ,  
846,10.81586722,LOW*,  ,  
847,10.86326044,  ,  ,  
848,10.84184064,  ,  ,  
849,11.03134246,  ,  ,  
850,10.99800278,  ,  ,  
851,10.95895242,  ,  ,  
852,11.17510986,  ,  ,  
853,11.70504483,  ,  ,  
854,11.7500424,  ,  ,  
855,11.66563103,  ,  ,  
856,11.75052935,  ,  ,  
857,11.69917032,  ,  ,  
858,11.72913518,  ,  ,  
859,12.29199795,  ,  ,  
860,12.28028762,  ,  ,  
861,12.4132044,  ,  ,  
862,12.52968949,HIGH*,  ,  
863,12.18462624,  ,  ,  
864,12.15927538,LOW*,  ,  
865,12.33165983,  ,  ,  
866,12.49766165,  ,  ,  
867,12.58613893,  ,  ,  
868,12.59238687,  ,  ,  
